adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,0.56366760 USDT,,funding_settlement:9d5fc584-414d-4d64-8453-62c066b5650b,1616947200005000000
FUNDING,BTCUSDT-PERP.BINANCE,0.55793453 USDT,,funding_settlement:398cbe49-c7e8-427f-9db3-b36549658f16,1616976000003000000
FUNDING,BTCUSDT-PERP.BINANCE,0.55930850 USDT,,funding_settlement:df49225e-ebe8-4aee-aed8-299ee99d39ea,1617004800000000000
FUNDING,BTCUSDT-PERP.BINANCE,1.04941161 USDT,,funding_settlement:65f2f9ee-e44b-46f1-9a5a-3c7d5fcc8c6e,1617033600000000000
FUNDING,BTCUSDT-PERP.BINANCE,1.84703010 USDT,,funding_settlement:b9a77db2-472f-4254-9b38-cc2ce7c7b211,1617062400018000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.58547491 USDT,,funding_settlement:b2111caf-cd75-4f07-bae9-d5b3b9b0ac87,1617091200012000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.89454305 USDT,,funding_settlement:e0bfbe29-fa11-4760-a06f-ea7c068dfde2,1617120000001000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.74816158 USDT,,funding_settlement:57e72dd0-6114-41a1-84ff-9045258026b7,1617148800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.12260225 USDT,,funding_settlement:0b95bdae-87a6-4af8-b1e5-d850274d4324,1617177600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.46557878 USDT,,funding_settlement:8c8f1234-76e8-4744-a69f-ab31e1b85de4,1617206400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.42691804 USDT,,funding_settlement:61935fc2-ce68-4462-978a-110d0bf3197a,1617235200025000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.60776713 USDT,,funding_settlement:d0a3013f-c15b-425f-9746-79b3a9c2e749,1617264000011000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.06561347 USDT,,funding_settlement:3af9d364-eae5-4c01-b13d-9fe09842d40f,1617292800004000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.17798657 USDT,,funding_settlement:87458c09-773e-4344-a481-11b306bad371,1617321600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.32619560 USDT,,funding_settlement:c7b4a90b-71f8-499b-9cdb-dfbe3e624f68,1617350400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.07027206 USDT,,funding_settlement:f0ca2da5-5ae1-4234-89c1-d3d73022bf62,1617379200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.73493761 USDT,,funding_settlement:f2790302-d120-489c-bbb0-f52d3eb312d2,1617408000003000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.40208028 USDT,,funding_settlement:769686d8-3069-4a5d-a783-0be4f4ac3a4f,1617436800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.96402525 USDT,,funding_settlement:eb46d1c6-49f6-4065-b7f6-6198e36f6fa3,1617465600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.97609872 USDT,,funding_settlement:413f17ca-8747-4542-8af2-966ad17a39cc,1617494400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.79600233 USDT,,funding_settlement:5019c86e-7e45-4f18-8c7a-11a1802495f2,1617523200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.53660022 USDT,,funding_settlement:d610f1f2-d212-4a42-a020-7c028c3fa341,1617552000016000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.29781665 USDT,,funding_settlement:1b9374dd-a31d-47f3-a926-9b11c987fcfb,1617580800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.47575586 USDT,,funding_settlement:fb45512d-155a-46ed-a14a-2ca2885c7c4a,1617609600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.21119594 USDT,,funding_settlement:ecd1cfbc-1362-4e2b-9847-6206ffd6c013,1617638400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.75549696 USDT,,funding_settlement:16ea942a-b84c-4265-82a1-e5b63acd85d6,1617667200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.38797043 USDT,,funding_settlement:02247e80-6aaa-44cf-9784-46ceff8d3b2d,1617696000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.84597063 USDT,,funding_settlement:9b1ad112-4f49-446c-9fc6-aca7f658f110,1617724800003000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.34456118 USDT,,funding_settlement:ba4e7132-5bad-4ce9-b7e9-0c57d7d96f6d,1617753600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.11161830 USDT,,funding_settlement:4da718ae-be70-4a94-9f09-9726a161e33d,1617782400006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.03303109 USDT,,funding_settlement:868ed990-8787-409b-bd6d-39d4588b3966,1617811200004000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.28435679 USDT,,funding_settlement:7e083dc1-1b5d-4e7f-bdb8-79b36f848dba,1617840000013000000
FUNDING,BTCUSDT-PERP.BINANCE,1.42354490 USDT,,funding_settlement:40c45fe4-3143-4bcb-9450-ff59da72ffe6,1617868800003000000
FUNDING,BTCUSDT-PERP.BINANCE,1.51545729 USDT,,funding_settlement:496c8434-72f6-4470-9fef-29172d378678,1617897600005000000
FUNDING,BTCUSDT-PERP.BINANCE,1.13992834 USDT,,funding_settlement:34310a0a-9fb9-4128-b36f-f13c6a5df6c0,1617926400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.52819138 USDT,,funding_settlement:b5d1750f-5614-469c-9f5a-47d6f6ec6299,1617955200004000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.26974093 USDT,,funding_settlement:3eecd8d0-a2b8-4538-a6d1-8637df1db5f4,1617984000004000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.75371684 USDT,,funding_settlement:19e764fb-3ae4-45ce-b152-d7df30541eae,1618012800011000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.00370705 USDT,,funding_settlement:947b8711-9a28-48d1-9a1a-063fa7677e03,1618041600005000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.21974903 USDT,,funding_settlement:051e5921-9351-495a-bf63-793e2dc3d5f1,1618070400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.18965787 USDT,,funding_settlement:9c17c57f-c2cd-4780-a226-f41e364c4f9d,1618099200004000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.93790870 USDT,,funding_settlement:c2dbada5-cbcd-4612-8f45-8fdf32475afb,1618128000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.33093081 USDT,,funding_settlement:2d979359-b600-4baa-8d28-dfdab0c0231b,1618156800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.63545557 USDT,,funding_settlement:278c6b9a-87f4-4e7e-b791-3ff7e6c70f91,1618185600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.46922535 USDT,,funding_settlement:eadf92ed-e886-4384-b501-c98b976660f4,1618214400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.66768403 USDT,,funding_settlement:5d8b1d50-c602-4c66-b51d-4524ce15ae0c,1618243200008000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.03708224 USDT,,funding_settlement:ee0cc45d-fa85-4b2f-9557-166cf71cee40,1618272000003000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.49658445 USDT,,funding_settlement:f2443050-db4c-41e2-b98c-5f621b1e9bae,1618300800008000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.78014848 USDT,,funding_settlement:a670660c-1cd5-43b9-8681-95ad9b6428e6,1618329600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.76059067 USDT,,funding_settlement:36804af1-f96c-4634-832e-cec21b668b9e,1618358400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.98851993 USDT,,funding_settlement:106431d4-4b14-42ea-9851-bf9f1d0a0eef,1618387200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.61609478 USDT,,funding_settlement:ceee8a04-668f-4118-98d9-3466ce68467f,1618416000012000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.81123475 USDT,,funding_settlement:03da2d0c-ad18-4b30-85ed-19927e2417db,1618444800006000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.16484619 USDT,,funding_settlement:2da3ea6c-cd73-46e5-9df2-00dc26db2bf0,1618473600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.92699354 USDT,,funding_settlement:2e725dd6-3747-4478-83c7-f835a47cd058,1618502400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.93235592 USDT,,funding_settlement:14742f31-c2d8-40c7-837b-4ead17a0be69,1618531200008000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.38053255 USDT,,funding_settlement:8bc0a48d-c2f7-47b6-a42f-4eb07fd0289f,1618560000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.11747215 USDT,,funding_settlement:a3cf0d09-86ad-4896-a954-2462f309c2f8,1618588800002000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.37261368 USDT,,funding_settlement:649c760c-c78d-47ec-8b09-02647000ac20,1618617600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.35637357 USDT,,funding_settlement:0d5a0213-2eb2-4361-ac89-0ec390d6577e,1618646400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.28497195 USDT,,funding_settlement:c0354ee7-cef9-4dc9-b83e-18bac999d1aa,1618675200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.90386952 USDT,,funding_settlement:4865d50c-083c-46dd-8680-ed68f3b5a147,1618704000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.28413901 USDT,,funding_settlement:20756ccc-c5ed-4282-9fd2-2e94c0e94c5d,1618732800004000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.55474927 USDT,,funding_settlement:936f7082-1059-41f0-a964-e00354d4166f,1618761600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.56158649 USDT,,funding_settlement:47e8666c-6eff-439c-920a-462792b0b3c8,1618790400000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.57324594 USDT,,funding_settlement:d0a407f2-27f6-47cf-8e7f-465fbc477109,1618819200000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.54577690 USDT,,funding_settlement:4588de95-ee01-4a26-be33-8517874bbf56,1618848000009000000
FUNDING,BTCUSDT-PERP.BINANCE,0.55633840 USDT,,funding_settlement:7dceb136-9155-46d7-bcdb-3149d26f8507,1618876800004000000
FUNDING,BTCUSDT-PERP.BINANCE,0.54398713 USDT,,funding_settlement:f0e4bec9-c9e9-472c-bda2-68d53495db86,1618905600000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.55329140 USDT,,funding_settlement:58532be0-41e5-4bb2-a120-bd385ecd398e,1618934400001000000
FUNDING,BTCUSDT-PERP.BINANCE,0.56439604 USDT,,funding_settlement:a8063fcb-d0a8-41e7-a080-b8ee9c540290,1618963200013000000
FUNDING,BTCUSDT-PERP.BINANCE,0.55288790 USDT,,funding_settlement:4221c9a9-b748-41e5-abb3-28ca58f09890,1618992000001000000
FUNDING,BTCUSDT-PERP.BINANCE,0.56147301 USDT,,funding_settlement:6ec10698-33d7-417b-b5c9-4c427a2be713,1619020800002000000
FUNDING,BTCUSDT-PERP.BINANCE,0.53794033 USDT,,funding_settlement:f907e3d8-be9c-4060-bb12-579a7ed2a6c7,1619049600000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.54144070 USDT,,funding_settlement:1e8d1cf6-2527-4a8f-a727-a02f034bdc5b,1619078400000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.54668260 USDT,,funding_settlement:6339e515-2715-4c5e-9d40-5e73337ffca8,1619107200001000000
FUNDING,BTCUSDT-PERP.BINANCE,0.51723660 USDT,,funding_settlement:b4c0b768-5108-401a-bbc5-ba0a27584c83,1619136000002000000
FUNDING,BTCUSDT-PERP.BINANCE,2.28831347 USDT,,funding_settlement:0b60b9a1-8d6a-40dd-9f8c-dbb9ade10c68,1619164800009000000
FUNDING,BTCUSDT-PERP.BINANCE,0.49843495 USDT,,funding_settlement:700e77ee-6f6e-459f-a890-bc05536c4d73,1619193600001000000
FUNDING,BTCUSDT-PERP.BINANCE,0.51130370 USDT,,funding_settlement:d4af9241-dab7-4f8f-ae32-c5517cfb95a3,1619222400019000000
FUNDING,BTCUSDT-PERP.BINANCE,1.37960683 USDT,,funding_settlement:bcb55a9d-45ed-4bd7-a332-bb7e0bb17928,1619251200001000000
FUNDING,BTCUSDT-PERP.BINANCE,0.84188774 USDT,,funding_settlement:8c44406d-2e18-4e1c-9972-2525db4c29ac,1619280000011000000
FUNDING,BTCUSDT-PERP.BINANCE,1.08702439 USDT,,funding_settlement:0562e93a-24cb-4851-b17c-3300bd4e30ca,1619308800000000000
FUNDING,BTCUSDT-PERP.BINANCE,1.91566471 USDT,,funding_settlement:ae3cff35-ecbb-4592-aec0-e62593b921dd,1619337600010000000
FUNDING,BTCUSDT-PERP.BINANCE,0.50266986 USDT,,funding_settlement:a7c962d8-af37-46a9-b90c-65bf5e53c07b,1619366400000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.49055841 USDT,,funding_settlement:e35a387f-fdf3-4958-9a7e-742ecc7d2a1d,1619395200003000000
FUNDING,BTCUSDT-PERP.BINANCE,0.52815884 USDT,,funding_settlement:3657d16b-898c-4550-9695-b66d440d73e8,1619424000002000000
FUNDING,BTCUSDT-PERP.BINANCE,0.53566320 USDT,,funding_settlement:c90ef258-5f84-4b37-aa55-1db70fe19023,1619452800004000000
FUNDING,BTCUSDT-PERP.BINANCE,0.53988030 USDT,,funding_settlement:c2926a5a-2407-4ecd-9a5e-4266f3241edd,1619481600000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.54540988 USDT,,funding_settlement:19c0f2f6-2c96-4bde-9e71-228f4f3036f0,1619510400000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.54994722 USDT,,funding_settlement:f478dfa5-c6ad-43f9-bd7e-2ef6e28c20ef,1619539200009000000
FUNDING,BTCUSDT-PERP.BINANCE,0.55014444 USDT,,funding_settlement:0dd9e976-e0ed-425f-b91b-7a37925c5ffc,1619568000000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.54282359 USDT,,funding_settlement:c8a24f5a-7c6e-4e99-8e0a-5c555b68ce67,1619596800000000000
